group,concentration,cultivar,stem_volume,stem_nodes,length,bush,flowering_day,SPAD,T_N,PO,KO,CaO,MgO,fresh_weight,dry_weight,weight_difference,vase_life,petals,petal_size,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
NSV,0.5,AG,3.57,7,50,3,65,70.7,1.36,0.61,3.29,0.17,0.58,2.81,1.06,1.75,5,10,49.82,62.89,-9.98,18.57,79.79,-14.22,27.75,78.15,-12.37,22.93,83.24,-13.99,29.31,81.3,-14.64,27.82
NSV,0.5,AG,3.14,8,51,2,65,114.5,1.37,0.6,3.26,0.18,0.58,2.58,1.58,1,5,10,48.84,76.63,-12.46,23.1,79.4,-9.85,20.21,74.75,-10.49,19.9,72.05,-7.84,31.33,71.19,-8.39,30.39
NSV,0.5,AG,4.61,8,56.5,2,65,136.2,1.36,0.6,3.28,0.16,0.58,2.63,1.24,1.39,5,10,44.4,72.85,-10.83,19.37,80.01,-15.67,29.4,74.87,-11.15,26.04,82.91,-11.2,27.04,81.56,-12.04,25.75
NSV,0.5,AG,3.06,7,43,3,68,103.8,1.34,0.6,3.29,0.17,0.58,2.47,1.29,1.18,5,9,49.85,78.79,-8.03,15.2,84.68,-11.68,24.01,74.43,-9,28.18,77.93,-9.94,28.28,75.01,-10.91,27.23
NSV,0,KP,3.27,8,60.5,2,59,104,1.04,0.89,2.46,0.2,0.39,4.34,1.7,2.64,5,17,51.31,81.73,4.54,3.51,72.37,2.75,4.08,78.28,6.9,13.06,79.3,5.29,12.29,80.37,4.53,13.62
NSV,0,KP,4.43,8,57,2,59,128,1.06,0.88,2.47,0.26,0.48,4.27,1.59,2.68,6,13,52.13,60.75,3.75,4.55,80.65,2.52,4.42,77.91,6.9,7.03,77.88,5.64,10.78,80.11,4.92,11.92
NSV,0,KP,4.65,8,56,4,76,87.9,1.02,0.88,2.46,0.2,0.39,3.99,1.27,2.72,7,15,52.39,63.36,2.71,7.16,85.72,3.44,4.83,77.8,4.13,10.96,83.91,6.4,9.11,81.7,5.49,10.68
NSV,0,KP,4.05,9,67.6,3,65,97.3,1.06,0.88,2.44,0.2,0.39,3.23,0.94,2.29,7,11,57.14,76.22,9.07,2.69,82.38,11.28,3.04,86.96,1.52,2.57,83.29,8.14,5.81,84.34,7.32,6.8
NSV,0,KP,3.72,8,53.5,3,65,92.9,1.04,0.88,2.46,0.2,0.39,2.84,1.53,1.31,5,10,48.79,81.09,6.89,2.99,86.02,4.53,4.84,82.43,7.63,3.83,79.32,2.5,8.98,80.51,1.9,9.69
NSV,0,KP,4.69,8,56,2,64,120,1.06,0.88,2.44,0.2,0.39,3.54,1.27,2.27,5,12,55.22,79.52,3.39,2.16,82.13,11.52,4.35,82.1,7.85,4.08,67.18,6.84,10.52,72.26,6.22,11.42
