group,concentration,cultivar,stem_volume,stem_nodes,length,bush,flowering_day,SPAD,T_N,PO,KO,CaO,MgO,fresh_weight,dry_weight,weight_difference,vase_life,petals,petal_size,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
NSR,0,AG,4.29,9,45,4,68,111,1.14,1.45,3.24,0.19,0.66,2.42,1.37,1.05,10,12,52.44,80.52,-14.43,28.21,77.95,-14.21,31.36,79.07,-14.81,32.26,78.59,-9.22,25.55,76.72,-10.47,23.61
NSR,0,AG,3.63,8,52,4,65,111.8,1.11,1.47,3.25,0.18,0.64,2.15,1.28,0.87,13,10,49.37,81.63,-12,24.43,76.61,-13.52,27.72,78.05,-14.17,27.38,71.23,-7.12,29.13,69.04,-8.79,28.02
NSR,0,AG,3.73,8,53,3,56,91.6,1.13,1.45,3.25,0.19,0.66,2.52,1.42,1.1,8,11,52.56,78.53,-15.34,30.16,75.82,-13.18,28.5,76.75,-13.62,29.89,80.01,-12.89,30.66,78.3,-35.08,28.06
NSR,0,AG,3.51,9,41,2,59,122.7,1.16,1.47,3.24,0.18,0.62,2.68,1.67,1.01,13,10,58.12,79.01,-16.14,31.34,71.94,-15.99,32.56,76.15,-16.25,33.16,77.57,-12.53,30.65,75.1,-14.05,29.56
NSR,0,AG,2.66,7,45.5,3,65,122.5,1.14,1.44,3.25,0.17,0.64,2.37,1.25,1.12,11,10,52.12,80.57,-11.83,23.83,79.32,-15.84,32.01,80.35,-16.08,33.91,81.37,-15.37,29.57,79.72,-16.86,26.68
NSR,0.1,AG,3.65,9,45,4,65,115.6,1.47,0.54,3.02,0.18,0.59,3.05,1.64,1.41,11,11,52.46,81.13,-15.71,31.55,82.7,-12.66,24.93,80.81,-15.14,30.24,73.33,-1.55,23.57,81.35,-13.47,30.17
NSR,0.1,AG,3.41,10,54.5,4,65,106.5,1.49,0.53,3.03,0.17,0.59,2.16,1.55,0.61,7,11,54.25,83.65,-15.05,28.58,77.37,-7.44,26.32,77.95,-14.21,31.36,78.02,-14.77,31.17,77.14,-11,30.08
NSR,0.1,AG,3.81,9,41.5,4,56,106,1.48,0.53,3.02,0.18,0.58,1.79,1.07,0.72,8,10,56.23,83.63,-15.43,29.23,82.42,-12.9,25.79,76.61,-13.52,27.72,75.12,-13.13,27.82,81.25,-12.93,28.81
NSR,0.1,AG,3.54,9,38.5,3,73,101.7,1.49,0.53,3.03,0.17,0.59,2.67,1.47,1.2,13,10,58.62,79.72,-16.1,31.08,80.83,-15.53,31.56,75.82,-13.18,28.5,77.41,-11.73,24.46,77.13,-11.64,30.61
NSR,0.1,AG,3.34,8,47.5,2,56,99.9,1.46,0.53,3.02,0.18,0.59,3.58,3.4,0.18,19,10,55.47,77.87,-14.68,28.53,73.48,-15.98,31.44,71.94,-15.99,32.56,75.43,-12.11,30.48,82.12,-14.19,29.4
NSR,0.1,AG,3.18,8,34,4,65,104.7,1.46,0.54,3.02,0.18,0.59,2.34,1.56,0.78,7,12,57.61,80.55,-15.22,28.92,80.18,-10.8,29.18,79.32,-15.84,32.01,73.54,-1.67,28.75,80.43,-13.71,28.74
NSR,0.3,AG,3.48,7,45,4,65,107,1.39,0.6,3.17,0.16,0.59,2.75,1.77,0.98,13,11,52.15,82.69,-13.99,27.09,82.83,-14.21,29.82,82.7,-12.66,24.93,82.5,-8.93,19.29,80.69,-14.68,32.08
NSR,0.3,AG,3.1,9,52.5,3,61,106.1,1.38,0.6,3.19,0.16,0.59,2.3,1.39,0.91,6,10,51.18,79.21,-15.31,29.08,80.68,-13.51,29.58,77.37,-7.44,26.32,84.13,-8.28,18.63,68.1,0.9,30.15
NSR,0.3,AG,3.23,9,51.5,4,65,106.5,1.38,0.62,3.17,0.16,0.59,2.41,1.42,0.99,8,10,55.32,75.64,-13.69,26.01,81.33,-14.74,28.74,82.42,-12.9,25.79,81.07,-9.94,19.83,79.8,-13.97,31.9
NSR,0.3,AG,2.92,9,41,5,62,89.9,1.38,0.6,3.19,0.16,0.59,1.93,0.88,1.05,5,12,55.75,82.87,-15.42,29.95,80.81,-12.22,29.13,80.83,-15.53,31.56,77.47,-12.67,29.14,80.83,-13.92,28.4
NSR,0.3,AG,3.94,9,46.5,5,56,124.5,1.37,0.62,3.19,0.16,0.59,2.73,1.75,0.98,6,12,57.94,81.81,-13.51,27.61,80.21,-6.94,25.31,73.48,-15.98,31.44,80.09,-11.34,24.92,80.61,-16.5,31.69
NSR,0.3,AG,3.52,9,44.5,5,77,120.2,1.37,0.62,3.17,0.16,0.59,3.62,2.67,0.95,16,10,56.95,79.07,-16.38,31.38,77.55,-16.13,30.84,80.18,-10.8,29.18,81.92,-12.9,27.93,67.19,-4.57,28.83
NSR,0.5,AG,3.13,9,46,6,65,106.5,1.27,0.52,3.25,0.14,0.59,2.65,1.85,0.8,13,10,51.46,80.05,-15.57,30.17,83.25,-14.04,29.85,82.83,-14.21,29.82,79.94,-7.23,26.46,81.8,-11.17,30.85
NSR,0.5,AG,3.27,9,45,4,65,110.9,1.29,0.53,3.27,0.15,0.58,2.26,1.61,0.65,13,10,54.61,81.76,-14.89,28.09,78.24,-11.77,25,80.68,-13.51,29.58,81.19,-14.54,30.36,80.49,-13.28,30.29
NSR,0.5,AG,3.44,9,36,3,68,105.3,1.25,0.53,3.25,0.14,0.59,2.27,1.55,0.72,10,12,54.66,81.05,-14.87,28.79,84.13,-9.67,27.11,81.33,-14.74,28.74,75.39,-10.96,31.41,78.47,-14.94,31.94
NSR,0.5,AG,5,9,48,4,59,120.5,1.3,0.53,3.27,0.15,0.58,2.05,1.47,0.58,10,10,56.43,83.42,-13.44,26.62,79.08,-14.25,31.35,80.81,-12.22,29.13,78.68,-37.7,27.49,68.1,-4.7,29.69
NSR,0.5,AG,3.55,9,51.5,6,64,127.1,1.27,0.52,3.25,0.16,0.58,2.35,1.72,0.63,16,10,51.52,83.88,-13.95,26.96,76.78,-2.58,25.41,80.21,-6.94,25.31,77.34,-10.65,24.88,62.49,0.15,28.33
NSR,0.5,AG,3.68,8,44,6,65,112.2,1.25,0.53,3.24,0.14,0.59,1.94,1.52,0.42,10,10,51.32,79.79,-17.56,32.31,79.74,-13.45,32.55,77.55,-16.13,30.84,75,-13.7,26.28,79.76,-16.26,32.8
NSR,0,KP,3.64,7,56,3,59,90.1,1.04,0.89,2.46,0.2,0.39,3.55,1.46,2.09,8,14,55.9,76.49,5.66,4.04,81.95,12.67,5.17,83.25,-14.04,29.85,79.3,5.29,12.29,81.45,-10.86,28.7
NSR,0,KP,3.86,8,43.5,3,59,81.9,1.06,0.88,2.47,0.26,0.48,3.8,0.88,2.92,11,12,59.21,71.89,3.42,2.95,82.24,4.71,4.68,78.24,-11.77,25,77.88,5.64,10.78,83.23,-11.81,27.73
NSR,0,KP,3.98,6,36,3,64,86.5,1.02,0.88,2.46,0.2,0.39,3.82,0.93,2.89,6,15,61.32,80.96,5.94,4.08,80.39,6.46,10.77,84.13,-9.67,27.11,83.91,6.4,9.11,77.5,-5.92,28.68
NSR,0,KP,3.13,8,48,4,64,114.7,1.06,0.88,2.44,0.2,0.39,3.14,0.78,2.36,10,12,61.32,84.28,5.79,2.14,82.06,8.67,4.94,79.08,-14.25,31.35,83.29,8.14,5.81,78.82,-8.87,29.17
NSR,0,KP,4.06,9,46.5,4,67,82.9,1.04,0.88,2.46,0.2,0.39,3.11,0.97,2.14,6,16,51.06,79.5,6.97,1.95,81.56,5.29,6.52,76.78,-2.58,25.41,79.32,2.5,8.98,81.65,-15.1,29.05
NSR,0,KP,3.95,8,39,3,68,77.3,1.06,0.88,2.44,0.2,0.39,2.6,0.82,1.78,10,12,66.18,74.29,5.16,2.06,81.97,7.38,7.85,79.74,-13.45,32.55,67.18,6.84,10.52,77.3,-10.87,32.74
NSR,0.1,KP,4.37,9,45.5,3,65,114.5,1.18,0.95,2.6,0.22,0.54,3.53,1.47,2.06,11,13,57.54,81.25,3.59,2.85,81.54,7.98,6.83,81.95,12.67,5.17,75.82,8.17,6.84,70.62,13.07,9.45
NSR,0.1,KP,4.81,7,56.5,3,65,104.4,1.19,0.98,2.65,0.29,0.66,3.44,1.32,2.12,16,15,41.9,83.43,6.51,7.06,89.35,4.32,4.15,82.24,4.71,4.68,81.63,4.48,11.92,78.1,5.26,10.82
NSR,0.1,KP,4.65,9,58.5,5,64,103.3,1.19,0.97,2.6,0.22,0.54,3.33,1.71,1.62,11,11,58.14,85.12,3.66,5.63,81.35,5.63,9.27,80.39,6.46,10.77,82.18,9.18,7.4,73.83,5.68,17.69
NSR,0.1,KP,5.44,9,63,4,64,137.6,1.18,0.95,2.6,0.22,0.54,3.5,1.59,1.91,11,13,54.59,83.31,8.87,3.08,82.28,8.81,5.62,82.06,8.67,4.94,80.89,6.83,10.36,79.75,6.77,9.72
NSR,0.1,KP,4.96,6,56.5,4,62,126.3,1.18,0.95,2.63,0.22,0.54,3.62,2.15,1.47,16,11,57.79,79.7,1.91,7.48,79.81,9.17,4.6,81.56,5.29,6.52,80.88,6.05,6.74,73.27,7.31,18.64
NSR,0.1,KP,4.23,8,53,4,65,114.5,1.17,0.95,2.6,0.22,0.54,3.05,1.89,1.16,11,12,55.81,75.2,7.86,1.91,81.32,6.71,7.05,81.97,7.38,7.85,78.84,9.82,5.77,74.43,4.36,12.02
NSR,0.3,KP,5.16,9,59,5,59,122.8,1.05,1.61,2.88,0.23,0.58,3.08,1.54,1.54,11,12,59.03,80.52,8.22,3.01,81.75,7.37,5.53,81.54,7.98,6.83,82.19,8.21,5.95,84.05,4.89,9.58
NSR,0.3,KP,4.07,9,54.5,3,65,110.3,1.06,1.63,2.86,0.3,0.71,3.08,1.39,1.69,13,13,56.25,82.18,6.9,1.72,85.16,6.89,3.32,89.35,4.32,4.15,79.92,10.42,5.03,85.01,5.24,8.32
NSR,0.3,KP,3.68,8,48,3,65,104.8,1.04,1.6,2.84,0.23,0.58,2.49,1.23,1.26,13,12,57.19,63.98,4.15,1.36,80.99,7.17,4.94,81.35,5.63,9.27,83.33,7.93,4.37,74.2,6.33,16.85
NSR,0.3,KP,4.2,8,55,4,59,108.5,1.04,1.6,2.88,0.23,0.58,3.05,1.07,1.98,13,13,60.08,84.56,6.18,3.81,82.2,8.84,5.42,82.28,8.81,5.62,80.36,12.98,3.08,81.67,4.95,9.2
NSR,0.3,KP,4.24,7,50,5,61,102,1.04,1.6,2.88,0.23,0.58,3.42,1.56,1.86,13,12,59.22,76,4.06,3.57,81.17,5.68,3.78,79.81,9.17,4.6,86.89,4.77,7.7,86.83,4.64,5.97
NSR,0.3,KP,4.21,8,53.5,5,65,117.2,1.04,1.6,2.87,0.22,0.57,3.75,1.77,1.98,11,13,57.26,85.64,3.58,3.85,83.78,7.63,6.92,81.32,6.71,7.05,81.2,6.71,4.72,81.83,5.51,6.71
NSR,0.5,KP,4.49,8,49,4,65,123.4,0.52,2.55,2.71,0.23,0.63,3.63,2.38,1.25,16,12,57.23,77.65,7,1.66,76.78,9.22,2.96,81.75,7.37,5.53,85.5,7.95,6.99,78.52,8.6,12.83
NSR,0.5,KP,4.53,9,51.5,3,68,123.9,0.55,2.54,2.72,0.3,0.74,3.19,1.68,1.51,12,13,59.02,86.08,6.35,2.73,79.7,2.18,17.26,85.16,6.89,3.32,77.07,6.62,3.7,83.15,7.39,7.08
NSR,0.5,KP,4.39,9,60.5,4,65,115.1,0.51,2.57,2.7,0.23,0.63,2.99,1.8,1.19,16,13,52.9,85.44,4.33,3.19,87.4,7.64,4.73,80.99,7.17,4.94,79.97,7.85,8.78,79.7,10.58,6.7
NSR,0.5,KP,4.7,9,55,4,65,118.4,0.52,2.53,2.74,0.24,0.64,3.22,1.56,1.66,10,10,57.04,79.43,5.92,3.01,85.52,3.94,6.87,82.2,8.84,5.42,80.03,10.4,7.08,73.63,11.16,7.51
NSR,0.5,KP,4.26,8,56.5,4,62,133.7,0.52,2.55,2.71,0.23,0.63,3.29,1.85,1.44,11,10,62.33,77.43,7.18,0.79,74.07,13.86,3.83,81.17,5.68,3.78,86.21,3.55,8.5,85.71,4.53,8.31
NSR,0.5,KP,4.07,8,52.5,6,65,106.7,0.52,2.53,2.74,0.24,0.64,3.09,1.55,1.54,13,12,55.33,79.92,5.11,2.19,81.29,6.17,2.48,83.78,7.63,6.92,82.88,8.55,3.78,85.62,4.17,7.79
NSR,0,BP,3.83,6,53.5,4,56,107.5,1.15,1.71,2.77,0.36,0.89,2.34,1.36,0.98,15,10,44.49,91.01,-1.67,5.42,81.52,3.85,-1.66,76.78,9.22,2.96,85.28,-0.08,7.74,84.58,10.87,5.26
NSR,0,BP,3.63,7,46,4,56,118.2,1.16,1.72,2.78,0.42,1,5.57,2.17,3.4,13,11,46.02,88.06,2.02,0.06,68.94,8.35,-7.27,79.7,2.18,17.26,41.17,25.22,-22.18,76.87,2.33,15.46
NSR,0,BP,4.97,6,50.5,3,59,101.4,1.17,1.73,2.78,0.36,0.89,2.62,1.37,1.25,15,10,50.21,83.18,0.89,0.71,78.54,-0.19,5.33,87.4,7.64,4.73,32.53,32.01,-27.89,87.11,7.47,5.46
NSR,0,BP,3.24,6,49,4,65,119,1.16,1.72,2.78,0.43,1.01,2.14,1.05,1.09,15,10,48.02,81.04,4.02,-1.6,53.16,16.17,-14.36,85.52,3.94,6.87,85.9,0.28,10.65,81.71,7.68,8.96
NSR,0,BP,4.07,6,52.5,4,65,111.7,1.15,1.71,2.77,0.36,1.04,2.31,1.19,1.12,15,10,49.39,84.96,-0.5,2.22,83.09,1.08,2.62,74.07,13.86,3.83,73.77,2.21,7.51,75.7,11.04,5.16
NSR,0,BP,4.2,6,51.5,4,68,145.5,1.17,1.7,2.74,0.36,0.89,2.32,1.51,0.81,15,10,47.16,87.9,0.19,2.36,84.7,2.03,0.62,81.29,6.17,2.48,89.06,0.1,2.95,78.91,9.41,4.6
NSR,0.1,BP,5.49,6,54.5,4,61,142.6,1.12,0.71,2.47,0.37,0.82,2.49,1.12,1.37,14,7,46.66,83.08,2.2,-0.44,66.23,14.95,-12.73,81.52,3.85,-1.66,36.71,27.37,-23.58,85.48,3.8,-0.32
NSR,0.1,BP,4.11,6,42.5,4,62,114.6,1.13,0.72,2.46,0.44,0.9,1.24,0.77,0.47,13,10,41.44,88.7,0.05,3.16,49.8,24.03,-20.59,68.94,8.35,-7.27,74.8,6.06,-3.71,89.06,1.04,2.23
NSR,0.1,BP,3.9,6,44.5,4,65,124.3,1.14,0.73,2.45,0.36,0.82,2.92,1.59,1.33,16,10,49.53,87.93,2.2,-0.34,86.33,1.2,2.4,78.54,-0.19,5.33,35.71,29.5,-24.03,89.62,-0.43,7.94
NSR,0.1,BP,4.68,7,54,4,65,165.9,1.35,0.72,2.75,0.38,0.92,2.6,0.99,1.61,16,10,47.34,83.16,3.88,-0.82,85.68,3.56,-0.2,53.16,16.17,-14.36,54,11.66,-9.07,74.22,9.78,-6.81
NSR,0.1,BP,3.96,6,48.5,4,68,144.4,1.1,0.73,2.45,0.44,0.9,2.81,1.82,0.99,16,10,44.6,85.74,1.19,1.56,78.51,6.98,-4.69,83.09,1.08,2.62,84.87,5.56,-1.27,89.09,-0.32,4.43
NSR,0.1,BP,4.45,6,56.5,5,62,154.7,1.15,73,2.44,0.36,0.82,2.65,1.69,0.96,16,10,50.4,76.07,10.29,-8.36,82.81,6.6,-4.11,84.7,2.03,0.62,71.25,7.87,-3.79,84.29,-0.09,3.62
NSR,0.3,BP,3.45,6,53,3,56,134.9,0.91,1.88,2.47,0.35,0.77,2.31,1.03,1.28,14,10,49.8,86.28,0.98,1.53,59.99,11,-8.51,66.23,14.95,-12.73,48.53,18.45,-16.39,84.9,1.17,2.02
NSR,0.3,BP,4.51,7,57,6,68,132,0.93,1.89,2.48,0.42,0.88,2.93,1.24,1.69,16,10,48.8,87.53,0.63,1.8,76.02,7.57,-4.57,49.8,24.03,-20.59,83.58,3.67,-1.13,87.17,2.11,4.34
NSR,0.3,BP,3.9,5,43.5,4,68,109,0.93,1.87,2.44,0.35,0.77,2.65,1.48,1.17,16,10,45.93,81.16,0.3,2.25,82.33,6.26,-3.02,86.33,1.2,2.4,82.71,1.88,1.32,80.42,-2.18,8.68
NSR,0.3,BP,4.45,4,54.5,5,68,142,1.05,0.66,2.61,0.32,0.85,2.79,1.18,1.61,16,10,54.02,86.18,0.74,1.34,81.93,6.97,-3.28,85.68,3.56,-0.2,59.71,12.28,-9.83,86.21,2.51,0.71
NSR,0.3,BP,4.69,6,49.5,3,65,124.1,0.91,1.87,2.45,0.42,0.88,2.45,1,1.45,14,10,51.02,60.72,6.61,-4.3,63.17,13.11,-9.44,78.51,6.98,-4.69,72.48,11.59,-9.2,84.69,3.03,-0.35
NSR,0.3,BP,4.16,7,46.5,6,68,121.5,0.92,1.89,2.48,0.42,0.87,2.57,1.16,1.41,16,10,47.82,75.53,7.16,-6.04,41.83,29.7,-26.89,82.81,6.6,-4.11,51.18,22.2,-19.33,76.58,9.47,-6.75
NSR,0.5,BP,5.59,7,60.5,6,68,126,1.33,0.75,2.1,0.32,0.78,2.55,1.12,1.43,16,10,52.65,73.81,-0.16,2.77,86.78,0.64,2.49,59.99,11,-8.51,72.95,7.44,-3.18,87.41,0.63,3.53
NSR,0.5,BP,4.56,5,54.5,5,77,154.7,1.35,0.76,2.12,0.39,0.88,2.61,1.31,1.3,16,10,46.09,88.37,-0.48,3.12,52.47,18.76,-16.21,76.02,7.57,-4.57,83.42,0.72,2.35,89.67,-0.48,5.35
NSR,0.5,BP,4.28,5,48,4,75,123.9,1.34,0.77,2.12,0.33,0.78,2.59,1.42,1.17,16,10,50.28,83.78,-0.22,3.1,71.85,2.35,-0.61,82.33,6.26,-3.02,87.35,1.57,2.53,71.12,8.83,-6.47
NSR,0.5,BP,3.97,6,48,4,77,121.2,1.26,0.63,2.43,0.34,0.84,2.29,0.82,1.47,16,10,44.26,83.38,0.6,1.9,70.79,10.88,-8.37,81.93,6.97,-3.28,30.75,32.32,-26.6,86.25,1.4,1.92
NSR,0.5,BP,3.87,6,43.5,3,80,127.1,1.33,0.75,2.1,0.39,0.88,2.85,1.51,1.34,16,10,48.2,78.11,1.39,1.51,41.57,27.31,-23.96,63.17,13.11,-9.44,68.41,22.23,-8.72,89.51,1.58,3.41
NSR,0.5,BP,4.54,5,49.5,6,82,134,1.35,0.76,2.13,0.39,0.88,2.53,1.37,1.16,16,11,47.37,88.93,-0.47,3.66,84.47,1.22,1.82,41.83,29.7,-26.89,58.78,16.45,-14.88,59.94,17.18,-15.8
NSR,0,KW,4.14,6,43.5,5,66,121.1,1.51,0.77,2.36,0.21,0.51,3.04,1.45,1.59,15,10,45.12,92.54,-0.97,3.27,91.85,-0.22,3.91,86.78,0.64,2.49,90.7,-0.37,9.54,86.92,-0.08,5.18
NSR,0,KW,3.72,8,54,3,65,94.4,1.53,0.79,2.35,0.27,0.61,3.2,1.68,1.52,6,17,53.88,86.22,-0.61,2.62,88.22,0.38,9.55,52.47,18.76,-16.21,80.74,1,10.69,90.01,0.52,3.49
NSR,0,KW,4.45,7,43,4,66,126.2,1.49,0.77,2.35,0.21,0.51,2.84,1.68,1.16,6,15,49.14,81.84,-0.61,1.87,93.18,-0.22,6.5,71.85,2.35,-0.61,89.51,-0.74,9.31,89.8,-0.34,4.06
NSR,0,KW,5.05,7,55,3,65,111.8,1.47,0.78,2.35,0.21,0.51,2.04,1.4,0.64,6,15,48.36,88.48,-0.47,1.95,87.74,1.37,11.61,70.79,10.88,-8.37,89.85,0.95,8.09,83.72,4.46,-2.12
NSR,0,KW,4.67,7,51,3,65,127.1,1.54,0.74,2.33,0.27,0.56,3.9,3.05,0.85,15,10,49.43,90.44,-0.53,2.61,91.98,-0.11,3.66,41.57,27.31,-23.96,88.58,-1.11,6.58,42.4,26.35,-24.83
NSR,0,KW,5.1,7,49.5,4,65,103.7,1.47,0.78,2.35,0.21,0.51,4.11,2.58,1.53,15,14,50.74,88.95,-0.66,2.31,87.63,0.07,4.21,84.47,1.22,1.82,81.9,0.34,10.44,81.95,1.92,1.53
NSR,0.1,KW,4.45,6,49.5,4,65,138.3,1.23,1.26,1.85,0.22,0.38,3.96,2.34,1.62,16,14,48.19,87.07,-1.45,3.95,91.28,-1.07,6.57,91.85,-0.22,3.91,90.2,-1.15,5.91,93.61,-0.72,4.42
NSR,0.1,KW,4.52,7,50.5,3,68,154,1.26,1.25,1.86,0.26,0.44,4.01,2.25,1.76,16,15,49.22,90.29,-0.7,2.67,93.35,-0.17,4.4,88.22,0.38,9.55,92,-0.66,7.82,71.29,2.45,26.68
NSR,0.1,KW,3.97,7,46.5,3,68,144.5,1.24,1.25,1.85,0.22,0.38,3.13,1.61,1.52,7,15,50.95,81.01,-0.85,3.51,89.44,0.1,7.46,93.18,-0.22,6.5,91.43,-1.8,8.31,81.24,1.35,19.17
NSR,0.1,KW,3.93,7,46,3,65,149.5,1.24,1.25,1.85,0.22,0.38,5.16,4.77,0.39,22,21,45.27,90.64,-1.69,6.75,92.55,-0.59,6.13,87.74,1.37,11.61,90.88,-0.3,4.21,80.72,0.99,16.39
NSR,0.1,KW,4.23,8,51,5,64,122.2,1.23,1.27,1.84,0.22,0.38,3.83,1.85,1.98,19,14,42.78,90.08,-0.6,2.29,84.99,-0.83,6.03,91.98,-0.11,3.66,86.14,-0.54,11.14,92.1,-0.66,4.68
NSR,0.1,KW,4.88,7,47.5,4,65,131.3,1.24,1.25,1.85,0.22,0.38,3.25,2.59,0.66,19,13,43.48,93.85,-1.16,4.38,88.17,-0.05,3.48,87.63,0.07,4.21,90.31,-0.59,7.46,93.41,-0.62,4.96
NSR,0.3,KW,5.36,8,49.5,3,65,89.5,1.55,0.54,1.98,0.18,0.39,4.35,3.93,0.42,16,10,44.76,81.07,-0.71,3.23,88.2,-0.33,4.5,91.28,-1.07,6.57,86.6,0.3,12.11,90.07,-1.05,5.22
NSR,0.3,KW,4.15,8,45.5,4,64,153.6,1.56,0.57,1.96,0.22,0.47,3.53,2.17,1.36,16,10,46.45,91.31,-0.57,2.83,90.5,-1.26,7.27,93.35,-0.17,4.4,92.37,-0.26,4.2,92.78,-1.74,7.58
NSR,0.3,KW,3.52,7,52.5,3,59,126.3,1.55,0.54,1.98,0.18,0.39,3.51,1.64,1.87,16,15,46.9,92.1,-0.56,2.94,91.73,-0.42,5.13,89.44,0.1,7.46,88.47,0.77,11.84,77.72,-0.08,14.33
NSR,0.3,KW,4.78,7,50.5,4,59,147.1,1.55,0.54,1.98,0.18,0.39,3.34,1.79,1.55,16,10,50.99,92.57,-0.72,3.28,92.22,-0.28,4.29,92.55,-0.59,6.13,90.74,-0.24,5.28,96.11,-0.63,5.7
NSR,0.3,KW,4.26,7,45.5,4,77,139.4,1.57,0.54,1.98,0.18,0.39,3.12,1.88,1.24,12,10,49.25,90.51,-0.75,2.96,88.11,-0.01,5.69,84.99,-0.83,6.03,89.1,-0.41,4.59,92.45,-0.72,9.57
NSR,0.3,KW,4.33,8,45,4,79,125,1.55,0.54,1.98,0.18,0.39,3.81,1.78,2.03,14,11,54.34,91.41,-0.46,3.02,91.07,-0.57,5.73,88.17,-0.05,3.48,90.77,-0.15,4.66,94.89,-0.59,5.31
NSR,0.5,KW,4.72,7,48.5,4,77,142.6,1.72,0.56,2.11,0.21,0.43,2.95,2.76,0.19,16,11,41.49,75.73,-1.18,3.71,91.18,-0.27,3.47,88.2,-0.33,4.5,79.15,0.99,22.64,91.48,-0.86,4.98
NSR,0.5,KW,5.07,6,46.5,4,65,150.4,1.75,0.54,2.15,0.25,0.5,3.28,3.23,0.05,22,10,49.78,85.18,-0.38,1.56,86.98,0.22,2.41,90.5,-1.26,7.27,90.94,-0.81,9.56,92.14,-1.72,8.22
NSR,0.5,KW,4.03,7,51.5,3,56,126.3,1.71,0.55,2.11,0.21,0.43,3.72,2.44,1.28,16,12,50.91,89.42,-0.84,3.66,90.69,-1.81,8.65,91.73,-0.42,5.13,90.86,-0.58,5.22,92.66,-0.35,5.3
NSR,0.5,KW,5.68,7,54.5,5,59,106.3,1.71,0.55,2.11,0.21,0.43,3.76,2.58,1.18,16,10,49.12,85.35,-0.83,3.21,88.38,-0.26,3.72,92.22,-0.28,4.29,91.62,-2.93,16.8,92.79,-0.69,5.8
NSR,0.5,KW,3.48,7,46.5,3,68,106.5,1.74,0.56,2.11,0.21,0.43,3.65,2.65,1,16,10,42.17,89.98,-1.48,5.52,89.15,-2.09,8.56,88.11,-0.01,5.69,93.41,-0.61,7.09,92.64,-0.26,8.53
NSR,0.5,KW,5.25,8,56,4,62,126.3,1.71,0.55,2.11,0.21,0.43,3.11,2.95,0.16,22,10,47.07,89.47,-1.99,4.93,90.55,-0.34,3.74,91.07,-0.57,5.73,87.21,-1.4,6.77,89.19,-0.1,6.79
